2009-10-19 05:06:23 startup archives install
2009-10-19 05:06:23 install base-files <none> 5ubuntu4
2009-10-19 05:06:23 status half-installed base-files 5ubuntu4
2009-10-19 05:06:23 status unpacked base-files 5ubuntu4
2009-10-19 05:06:23 status unpacked base-files 5ubuntu4
2009-10-19 05:06:23 install base-passwd <none> 3.5.21
2009-10-19 05:06:23 status half-installed base-passwd 3.5.21
2009-10-19 05:06:23 status unpacked base-passwd 3.5.21
2009-10-19 05:06:23 status unpacked base-passwd 3.5.21
2009-10-19 05:06:23 configure base-passwd 3.5.21 3.5.21
2009-10-19 05:06:23 status unpacked base-passwd 3.5.21
2009-10-19 05:06:23 status half-configured base-passwd 3.5.21
2009-10-19 05:06:23 status installed base-passwd 3.5.21
2009-10-19 05:06:23 configure base-files 5ubuntu4 5ubuntu4
2009-10-19 05:06:23 status unpacked base-files 5ubuntu4
2009-10-19 05:06:23 status unpacked base-files 5ubuntu4
2009-10-19 05:06:23 status unpacked base-files 5ubuntu4
2009-10-19 05:06:23 status unpacked base-files 5ubuntu4
2009-10-19 05:06:23 status unpacked base-files 5ubuntu4
2009-10-19 05:06:23 status unpacked base-files 5ubuntu4
2009-10-19 05:06:23 status half-configured base-files 5ubuntu4
2009-10-19 05:06:24 status installed base-files 5ubuntu4
2009-10-19 05:06:24 startup archives install
2009-10-19 05:06:24 upgrade dpkg 1.14.24ubuntu1 1.14.24ubuntu1
2009-10-19 05:06:24 status half-configured dpkg 1.14.24ubuntu1
2009-10-19 05:06:24 status unpacked dpkg 1.14.24ubuntu1
2009-10-19 05:06:24 status half-installed dpkg 1.14.24ubuntu1
2009-10-19 05:06:25 status half-installed dpkg 1.14.24ubuntu1
2009-10-19 05:06:26 status unpacked dpkg 1.14.24ubuntu1
2009-10-19 05:06:26 status unpacked dpkg 1.14.24ubuntu1
2009-10-19 05:06:26 configure dpkg 1.14.24ubuntu1 1.14.24ubuntu1
2009-10-19 05:06:26 status unpacked dpkg 1.14.24ubuntu1
2009-10-19 05:06:26 status unpacked dpkg 1.14.24ubuntu1
2009-10-19 05:06:26 status unpacked dpkg 1.14.24ubuntu1
2009-10-19 05:06:26 status unpacked dpkg 1.14.24ubuntu1
2009-10-19 05:06:26 status unpacked dpkg 1.14.24ubuntu1
2009-10-19 05:06:26 status half-configured dpkg 1.14.24ubuntu1
2009-10-19 05:06:26 status installed dpkg 1.14.24ubuntu1
2009-10-19 05:06:26 startup archives install
2009-10-19 05:06:26 install libc6 <none> 2.9-4ubuntu6
2009-10-19 05:06:26 status half-installed libc6 2.9-4ubuntu6
2009-10-19 05:06:29 status unpacked libc6 2.9-4ubuntu6
2009-10-19 05:06:29 status unpacked libc6 2.9-4ubuntu6
2009-10-19 05:06:29 configure libc6 2.9-4ubuntu6 2.9-4ubuntu6
2009-10-19 05:06:29 status unpacked libc6 2.9-4ubuntu6
2009-10-19 05:06:29 status unpacked libc6 2.9-4ubuntu6
2009-10-19 05:06:29 status unpacked libc6 2.9-4ubuntu6
2009-10-19 05:06:29 status unpacked libc6 2.9-4ubuntu6
2009-10-19 05:06:29 status unpacked libc6 2.9-4ubuntu6
2009-10-19 05:06:29 status unpacked libc6 2.9-4ubuntu6
2009-10-19 05:06:29 status half-configured libc6 2.9-4ubuntu6
2009-10-19 05:06:31 status installed libc6 2.9-4ubuntu6
2009-10-19 05:06:31 status triggers-pending libc6 2.9-4ubuntu6
2009-10-19 05:06:31 trigproc libc6 2.9-4ubuntu6 2.9-4ubuntu6
2009-10-19 05:06:31 status half-configured libc6 2.9-4ubuntu6
2009-10-19 05:06:31 status installed libc6 2.9-4ubuntu6
2009-10-19 05:06:31 startup archives install
2009-10-19 05:06:32 install perl-base <none> 5.10.0-19ubuntu1
2009-10-19 05:06:32 status half-installed perl-base 5.10.0-19ubuntu1
2009-10-19 05:06:33 status unpacked perl-base 5.10.0-19ubuntu1
2009-10-19 05:06:33 status unpacked perl-base 5.10.0-19ubuntu1
2009-10-19 05:06:33 configure perl-base 5.10.0-19ubuntu1 5.10.0-19ubuntu1
2009-10-19 05:06:33 status unpacked perl-base 5.10.0-19ubuntu1
2009-10-19 05:06:33 status half-configured perl-base 5.10.0-19ubuntu1
2009-10-19 05:06:33 status installed perl-base 5.10.0-19ubuntu1
2009-10-19 05:06:33 startup archives install
2009-10-19 05:06:33 install mawk <none> 1.3.3-13ubuntu1
2009-10-19 05:06:33 status half-installed mawk 1.3.3-13ubuntu1
2009-10-19 05:06:33 status unpacked mawk 1.3.3-13ubuntu1
2009-10-19 05:06:33 status unpacked mawk 1.3.3-13ubuntu1
2009-10-19 05:06:33 configure mawk 1.3.3-13ubuntu1 1.3.3-13ubuntu1
2009-10-19 05:06:33 status unpacked mawk 1.3.3-13ubuntu1
2009-10-19 05:06:33 status half-configured mawk 1.3.3-13ubuntu1
2009-10-19 05:06:34 status installed mawk 1.3.3-13ubuntu1
2009-10-19 05:06:34 startup archives install
2009-10-19 05:06:34 install debconf <none> 1.5.26ubuntu3
2009-10-19 05:06:34 status half-installed debconf 1.5.26ubuntu3
2009-10-19 05:06:34 status unpacked debconf 1.5.26ubuntu3
2009-10-19 05:06:34 status unpacked debconf 1.5.26ubuntu3
2009-10-19 05:06:35 configure debconf 1.5.26ubuntu3 1.5.26ubuntu3
2009-10-19 05:06:35 status unpacked debconf 1.5.26ubuntu3
2009-10-19 05:06:35 status unpacked debconf 1.5.26ubuntu3
2009-10-19 05:06:35 status unpacked debconf 1.5.26ubuntu3
2009-10-19 05:06:35 status unpacked debconf 1.5.26ubuntu3
2009-10-19 05:06:35 status half-configured debconf 1.5.26ubuntu3
2009-10-19 05:06:37 status installed debconf 1.5.26ubuntu3
2009-10-19 05:06:37 startup archives unpack
2009-10-19 05:06:37 upgrade base-files 5ubuntu4 5ubuntu4
2009-10-19 05:06:37 status half-configured base-files 5ubuntu4
2009-10-19 05:06:37 status unpacked base-files 5ubuntu4
2009-10-19 05:06:37 status half-installed base-files 5ubuntu4
2009-10-19 05:06:38 status half-installed base-files 5ubuntu4
2009-10-19 05:06:38 status unpacked base-files 5ubuntu4
2009-10-19 05:06:38 status unpacked base-files 5ubuntu4
2009-10-19 05:06:38 upgrade base-passwd 3.5.21 3.5.21
2009-10-19 05:06:38 status half-configured base-passwd 3.5.21
2009-10-19 05:06:38 status unpacked base-passwd 3.5.21
